name,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
Aaron_Cresswell,0,0,0,0,0,0,0,0,0,0.0,0,0,454,0,0,59,0,0,0,0.0,3234,0.0,0,2016-09-25T15:00:00Z,25 Sep 16:00,0,0,0,0,0,13,0,0,0,0,0,0,6,0,7450,0,0,0,3,0,0.0,0,-500,20,520,54,True,0,0
Aaron_Lennon,0,0,0,0,0,0,0,0,0,0.0,0,0,142,0,0,52,0,0,0,0.0,2922,0.0,0,2016-09-24T14:00:00Z,24 Sep 15:00,0,0,0,0,0,2,0,0,0,0,0,0,6,0,8950,0,0,0,0,1,0.0,0,-1108,110,1218,57,False,0,0
Aaron_Ramsey,0,0,0,0,0,0,0,0,0,0.0,0,0,16,0,0,51,0,0,0,0.0,2796,0.0,0,2016-09-24T16:30:00Z,24 Sep 17:30,0,0,0,0,0,4,0,0,0,0,0,0,6,0,44419,0,0,0,0,3,0.0,0,-3950,64,4014,77,True,0,0
Abdoulaye_Doucouré,0,0,0,0,0,0,0,0,0,0.0,0,0,482,0,0,60,0,0,0,0.0,3262,0.0,0,2016-09-26T19:00:00Z,26 Sep 20:00,0,0,0,0,0,3,0,0,0,0,0,0,6,0,726,0,0,0,0,2,0.0,0,-48,21,69,48,False,0,0
Abdul Rahman_Baba,0,0,0,0,0,0,0,0,0,0.0,0,0,80,0,0,51,0,0,0,0.0,2860,0.0,0,2016-09-24T16:30:00Z,24 Sep 17:30,0,0,0,0,0,1,0,0,0,0,0,0,6,0,724,0,0,0,0,3,0.0,0,-36,15,51,55,False,0,0
Abel_Hernández,0,13,0,0,0,1,0,0,9,1.3,0,0,163,0,0,53,1,5,0,0.0,2943,0.0,0,2016-09-24T14:00:00Z,24 Sep 15:00,0,0,90,1,0,9,0,0,0,0,3,0,6,0,86276,4,0,0,1,5,0.0,2,-5098,12258,17356,60,False,0,0
Adama_Diomande,0,4,0,0,0,3,0,1,3,1.4,0,0,164,0,0,53,0,2,0,0.4,2944,2.2,0,2016-09-24T14:00:00Z,24 Sep 15:00,0,0,32,0,0,9,0,0,0,0,1,0,6,0,272715,2,1,0,1,5,0.0,1,16096,49185,33089,46,False,0,0
Adama_Traoré,0,11,0,0,0,5,0,0,7,6.7,5,0,563,0,0,55,1,0,0,1.6,3343,7.6,0,2016-09-24T14:00:00Z,24 Sep 15:00,0,0,32,0,0,17,0,0,0,0,4,0,6,0,526,2,1,0,2,1,2.0,0,-97,44,141,49,True,0,1
Adam_Clayton,0,37,0,0,0,22,0,6,31,2.1,1,0,283,0,0,55,1,2,0,2.1,3063,18.8,0,2016-09-24T14:00:00Z,24 Sep 15:00,0,0,81,0,0,17,0,0,0,0,7,0,6,0,14245,1,4,0,2,1,0.0,2,-1969,408,2377,44,True,0,0
Adam_Federici,0,0,0,0,0,0,0,0,0,0.0,0,0,30,0,0,52,0,0,0,0.0,2810,0.0,0,2016-09-24T14:00:00Z,24 Sep 15:00,0,0,0,0,0,6,0,0,0,0,0,0,6,0,4345,0,0,0,0,1,0.0,0,-157,39,196,45,True,0,0
Adam_Forshaw,0,8,0,0,0,4,0,0,7,1.0,0,0,286,0,0,55,0,0,0,0.5,3066,0.2,0,2016-09-24T14:00:00Z,24 Sep 15:00,0,0,9,0,0,17,0,0,0,0,1,0,6,0,4125,0,1,1,2,1,4.0,1,106,609,503,45,True,0,0
Adam_Lallana,2,50,0,0,2,55,0,0,47,31.3,1,0,205,0,0,53,0,1,1,14.8,2985,75.4,2,2016-09-24T14:00:00Z,24 Sep 15:00,0,0,68,0,0,7,0,0,0,0,1,0,6,0,378069,0,2,0,1,5,41.0,15,25763,54786,29023,71,True,0,0
Adam_Matthews,0,0,0,0,0,0,0,0,0,0.0,0,0,345,0,0,57,0,0,0,0.0,3125,0.0,0,2016-09-24T14:00:00Z,24 Sep 15:00,0,0,0,0,0,5,0,0,0,0,0,0,6,0,1231,0,0,0,3,2,0.0,0,-45,40,85,40,True,0,0
Adam_Reach,0,0,0,0,0,0,0,0,0,0.0,0,0,285,0,0,55,0,0,0,0.0,3065,0.0,0,2016-09-24T14:00:00Z,24 Sep 15:00,0,0,0,0,0,17,0,0,0,0,0,0,6,0,1558,0,0,0,2,1,0.0,0,-215,7,222,44,True,0,0
Adam_Smith,0,45,0,0,0,28,1,3,40,3.2,1,0,34,0,0,52,1,0,0,1.7,2814,14.0,0,2016-09-24T14:00:00Z,24 Sep 15:00,0,0,90,0,0,6,0,0,0,0,8,0,6,0,316504,1,2,0,0,1,0.0,6,58188,79559,21371,46,True,0,0
Adlène_Guédioura,0,0,0,0,0,0,0,0,0,0.0,0,0,415,0,0,60,0,0,0,0.0,3195,0.0,0,2016-09-26T19:00:00Z,26 Sep 20:00,0,0,0,0,0,3,0,0,0,0,0,0,6,0,4389,0,0,0,0,2,0.0,0,-616,143,759,45,False,0,0
Adnan_Januzaj,0,27,0,0,0,6,0,0,19,4.3,3,0,261,0,0,57,0,2,0,3.5,3041,6.4,0,2016-09-24T14:00:00Z,24 Sep 15:00,0,0,85,0,0,5,0,0,0,0,5,0,6,0,38736,3,0,1,3,2,24.0,2,-8305,942,9247,55,True,0,0
Adrian_Mariappa,0,0,0,0,0,0,0,0,0,0.0,0,0,556,0,0,60,0,0,0,0.0,3336,0.0,0,2016-09-26T19:00:00Z,26 Sep 20:00,0,0,0,0,0,3,0,0,0,0,0,0,6,0,11983,0,0,0,0,2,0.0,0,3381,4415,1034,40,False,0,0
Adrián_San Miguel del Castillo,0,21,0,0,0,21,0,0,9,0.0,0,0,450,0,0,59,0,3,0,4.8,3230,48.2,0,2016-09-25T15:00:00Z,25 Sep 16:00,0,0,90,0,0,13,0,0,0,0,9,0,6,6,126032,0,0,0,3,0,0.0,3,-11333,1803,13136,50,True,0,0
Ahmed_Elmohamady,0,8,0,0,0,-8,0,4,6,0.1,0,0,158,0,0,53,1,5,0,0.0,2938,0.0,0,2016-09-24T14:00:00Z,24 Sep 15:00,0,0,28,0,0,9,0,1,0,0,2,1,6,0,15921,0,0,0,1,5,0.0,-2,-2139,512,2651,49,False,0,0
Ahmed_Musa,0,0,0,0,0,0,0,0,0,0.0,0,0,187,0,0,54,0,0,0,0.0,2967,0.0,0,2016-09-24T11:30:00Z,24 Sep 12:30,0,0,0,0,0,11,0,0,0,0,0,0,6,0,168087,0,0,0,1,4,0.0,0,-33160,819,33979,71,False,0,0
Aiden_O'Neill,0,0,0,0,0,0,0,0,0,0.0,0,0,531,0,0,60,0,0,0,0.0,3311,0.0,0,2016-09-26T19:00:00Z,26 Sep 20:00,0,0,0,0,0,18,0,0,0,0,0,0,6,0,990,0,0,0,0,2,0.0,0,-57,42,99,44,True,0,0
Alberto_Moreno,0,0,0,0,0,0,0,0,0,0.0,0,0,192,0,0,53,0,0,0,0.0,2972,0.0,0,2016-09-24T14:00:00Z,24 Sep 15:00,0,0,0,0,0,7,0,0,0,0,0,0,6,0,94520,0,0,0,1,5,0.0,0,-12741,635,13376,47,True,0,0
Albert_Adomah,0,0,0,0,0,0,0,0,0,0.0,0,0,281,0,0,55,0,0,0,0.0,3061,0.0,0,2016-09-24T14:00:00Z,24 Sep 15:00,0,0,0,0,0,17,0,0,0,0,0,0,6,0,2003,0,0,0,2,1,0.0,0,-646,0,646,54,True,0,0
Aleix_García Serrano,0,0,0,0,0,0,0,0,0,0.0,0,0,578,0,0,58,0,0,0,0.0,3358,0.0,0,2016-09-24T14:00:00Z,24 Sep 15:00,0,0,0,0,0,16,0,0,0,0,0,0,6,0,159,0,0,0,3,1,0.0,0,18,46,28,50,False,0,0
