name,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
Aaron_Cresswell,0,0,0,0,0,0,0,0,0,0.0,0,0,454,0,0,46,0,0,0,0.0,2650,0.0,0,2016-09-17T14:00:00Z,17 Sep 15:00,0,0,0,0,0,19,0,0,0,0,0,0,5,0,7933,0,0,0,2,4,0.0,0,-520,29,549,54,False,0,0
Aaron_Lennon,0,0,0,0,0,0,0,0,0,0.0,0,0,142,0,0,42,0,0,0,0.0,2338,0.0,0,2016-09-17T16:30:00Z,17 Sep 17:30,0,0,0,0,0,12,0,0,0,0,0,0,5,0,9891,0,0,0,1,3,0.0,0,-995,131,1126,58,True,0,0
Aaron_Ramsey,0,0,0,0,0,0,0,0,0,0.0,0,0,16,0,0,43,0,0,0,0.0,2212,0.0,0,2016-09-17T14:00:00Z,17 Sep 15:00,0,0,0,0,0,7,0,0,0,0,0,0,5,0,48310,0,0,0,4,1,0.0,0,-3690,73,3763,78,False,0,0
Abdoulaye_Doucouré,0,0,0,0,0,0,0,0,0,0.0,0,0,482,0,0,50,0,0,0,0.0,2678,0.0,0,2016-09-18T11:00:00Z,18 Sep 12:00,0,0,0,0,0,11,0,0,0,0,0,0,5,0,763,0,0,0,1,3,0.0,0,-78,26,104,48,True,0,0
Abdul Rahman_Baba,0,0,0,0,0,0,0,0,0,0.0,0,0,80,0,0,41,0,0,0,0.0,2276,0.0,0,2016-09-16T19:00:00Z,16 Sep 20:00,0,0,0,0,0,9,0,0,0,0,0,0,5,0,716,0,0,0,2,1,0.0,0,-39,10,49,55,True,0,0
Abel_Hernández,0,10,0,0,0,-2,0,1,6,11.4,0,0,163,0,0,43,2,2,0,1.9,2359,0.0,1,2016-09-17T14:00:00Z,17 Sep 15:00,0,0,76,3,0,1,0,0,0,0,1,0,5,0,89876,3,0,1,4,1,8.0,2,-5957,8153,14110,60,True,0,0
Adama_Diomande,0,22,0,0,0,7,0,1,21,3.3,1,0,164,0,0,43,0,1,0,1.4,2360,8.4,0,2016-09-17T14:00:00Z,17 Sep 15:00,0,0,41,0,0,1,0,0,0,0,5,0,5,0,252641,2,2,0,4,1,2.0,1,3044,27313,24269,46,True,0,0
Adama_Traoré,0,0,0,0,0,0,0,0,0,0.0,0,0,563,0,0,42,0,0,0,0.0,2759,0.0,0,2016-09-17T16:30:00Z,17 Sep 17:30,0,0,0,0,0,6,0,0,0,0,0,0,5,0,590,0,0,0,1,3,0.0,0,-15,77,92,50,False,0,0
Adam_Clayton,0,3,0,0,0,2,0,0,3,0.3,0,0,283,0,0,42,1,0,0,0.0,2479,0.0,0,2016-09-17T16:30:00Z,17 Sep 17:30,0,0,7,0,0,6,0,0,0,0,0,0,5,0,16144,0,0,0,1,3,0.0,1,-1566,185,1751,45,False,0,0
Adam_Federici,0,0,0,0,0,0,0,0,0,0.0,0,0,30,0,0,45,0,0,0,0.0,2226,0.0,0,2016-09-17T14:00:00Z,17 Sep 15:00,0,0,0,0,0,10,0,0,0,0,0,0,5,0,4465,0,0,0,0,4,0.0,0,-87,32,119,45,False,0,0
