name,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
Aaron_Cresswell,0,0,0,0,0,0,0,0,0,0.0,0,0,454,0,0,70,0,0,0,0.0,3820,0.0,0,2016-10-01T14:00:00Z,01 Oct 15:00,0,0,0,0,0,12,0,0,0,0,0,0,7,0,7199,0,0,0,1,1,0.0,0,-285,40,325,53,True,0,0
Aaron_Lennon,0,0,0,0,0,0,0,0,0,0.0,0,0,142,0,0,62,0,0,0,0.0,3508,0.0,0,2016-09-30T19:00:00Z,30 Sep 20:00,0,0,0,0,0,5,0,0,0,0,0,0,7,0,8520,0,0,0,1,1,0.0,0,-539,73,612,57,True,0,0
Aaron_Ramsey,0,0,0,0,0,0,0,0,0,0.0,0,0,16,0,0,61,0,0,0,0.0,3382,0.0,0,2016-10-02T15:30:00Z,02 Oct 16:30,0,0,0,0,0,3,0,0,0,0,0,0,7,0,41937,0,0,0,1,0,0.0,0,-2546,32,2578,77,False,0,0
Abdoulaye_Doucouré,0,0,0,0,0,0,0,0,0,0.0,0,0,482,0,0,69,0,0,0,0.0,3848,0.0,0,2016-10-01T14:00:00Z,01 Oct 15:00,0,0,0,0,0,2,0,0,0,0,0,0,7,0,702,0,0,0,2,2,0.0,0,-34,8,42,48,True,0,0
Abdul Rahman_Baba,0,0,0,0,0,0,0,0,0,0.0,0,0,80,0,0,63,0,0,0,0.0,3446,0.0,0,2016-10-01T14:00:00Z,01 Oct 15:00,0,0,0,0,0,7,0,0,0,0,0,0,7,0,741,0,0,0,2,0,0.0,0,-26,11,37,55,False,0,0
Abel_Hernández,0,3,0,0,0,4,0,0,3,11.5,0,0,163,0,0,63,0,0,0,1.4,3529,2.2,1,2016-10-01T14:00:00Z,01 Oct 15:00,0,0,19,0,0,4,0,0,0,0,0,0,7,0,82293,0,0,0,2,0,0.0,1,-4911,7822,12733,60,True,0,0
Adama_Diomande,0,14,0,0,0,2,0,0,12,12.7,1,0,164,0,0,63,1,1,0,1.9,3530,2.6,1,2016-10-01T14:00:00Z,01 Oct 15:00,0,0,62,0,0,4,0,0,0,0,3,0,7,0,280436,6,0,0,2,0,4.0,2,5251,30496,25245,46,True,0,0
Adama_Traoré,0,0,0,0,0,0,0,0,0,0.0,0,0,563,0,0,70,0,0,0,0.0,3929,0.0,0,2016-10-01T14:00:00Z,01 Oct 15:00,0,0,0,0,0,20,0,0,0,0,0,0,7,0,648,0,0,0,1,1,0.0,0,89,164,75,49,False,0,0
Adam_Clayton,0,0,0,0,0,0,0,0,0,0.0,0,0,283,0,0,70,0,0,0,0.0,3649,0.0,0,2016-10-01T14:00:00Z,01 Oct 15:00,0,0,0,0,0,20,0,0,0,0,0,0,7,0,14224,0,0,0,1,1,0.0,0,-145,829,974,44,False,0,0
Adam_Federici,0,0,0,0,0,0,0,0,0,0.0,0,0,30,0,0,69,0,0,0,0.0,3396,0.0,0,2016-10-01T14:00:00Z,01 Oct 15:00,0,0,0,0,0,18,0,0,0,0,0,0,7,0,4333,0,0,0,2,2,0.0,0,-74,75,149,44,False,0,0
Adam_Forshaw,0,73,1,0,0,20,0,1,62,15.3,1,0,286,0,0,70,0,1,0,2.5,3652,9.6,1,2016-10-01T14:00:00Z,01 Oct 15:00,0,0,90,0,0,20,0,0,0,0,5,0,7,0,4068,0,2,0,1,1,0.0,2,-107,174,281,45,False,0,0
