name,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
Aaron_Cresswell,0,0,0,0,0,0,0,0,0,0.0,0,0,454,0,0,29,0,0,0,0.0,1519,0.0,0,2016-08-28T15:00:00Z,28 Aug 16:00,0,0,0,0,0,10,0,0,0,0,0,0,3,0,9587,0,0,0,1,3,0.0,0,-2053,28,2081,54,False,0,0
Aaron_Lennon,0,0,0,0,0,0,0,0,0,0.0,0,0,142,0,0,23,0,0,0,0.0,1207,0.0,0,2016-08-27T14:00:00Z,27 Aug 15:00,0,0,0,0,0,14,0,0,0,0,0,0,3,0,12068,0,0,0,0,1,0.0,0,-2231,284,2515,59,True,0,0
Aaron_Ramsey,0,0,0,0,0,0,0,0,0,0.0,0,0,16,0,0,28,0,0,0,0.0,1081,0.0,0,2016-08-27T14:00:00Z,27 Aug 15:00,0,0,0,0,0,18,0,0,0,0,0,0,3,0,61959,0,0,0,3,1,0.0,0,-35326,148,35474,78,False,0,0
Abdoulaye_Doucouré,0,0,0,0,0,0,0,0,0,0.0,0,0,482,0,0,28,0,0,0,0.0,1547,0.0,0,2016-08-27T14:00:00Z,27 Aug 15:00,0,0,0,0,0,1,0,0,0,0,0,0,3,0,924,0,0,0,3,1,0.0,0,-127,22,149,49,True,0,0
Abdul Rahman_Baba,0,0,0,0,0,0,0,0,0,0.0,0,0,80,0,0,21,0,0,0,0.0,1145,0.0,0,2016-08-27T14:00:00Z,27 Aug 15:00,0,0,0,0,0,3,0,0,0,0,0,0,3,0,817,0,0,0,0,3,0.0,0,-186,8,194,55,True,0,0
Abel_Hernández,0,13,0,0,0,1,1,0,10,5.1,0,0,163,0,0,24,2,0,0,4.3,1228,3.4,0,2016-08-27T16:30:00Z,27 Aug 17:30,0,0,82,0,0,11,0,0,0,0,3,0,3,0,70016,4,0,0,1,0,34.0,2,19243,26888,7645,60,True,0,0
Adama_Diomande,0,34,0,0,0,9,0,0,25,26.8,0,0,164,0,0,24,1,1,0,3.5,1229,4.0,2,2016-08-27T16:30:00Z,27 Aug 17:30,0,0,90,0,0,11,0,0,0,0,4,0,3,0,203328,5,2,0,1,0,4.0,2,26721,57922,31201,46,True,0,0
Adam_Clayton,0,77,0,0,0,14,1,3,69,3.5,0,0,283,0,0,30,0,0,0,1.8,1348,14.8,0,2016-08-28T12:30:00Z,28 Aug 13:30,0,0,90,0,0,19,0,0,0,0,7,0,3,0,18370,1,1,0,0,0,0.0,3,-483,1289,1772,45,False,0,0
Adam_Federici,0,0,0,0,0,0,0,0,0,0.0,0,0,30,0,0,22,0,0,0,0.0,1095,0.0,0,2016-08-27T14:00:00Z,27 Aug 15:00,0,0,0,0,0,5,0,0,0,0,0,0,3,0,4562,0,0,0,1,1,0.0,0,-194,66,260,45,False,0,0
Adam_Forshaw,0,78,0,0,0,15,1,5,70,20.5,0,0,286,0,0,30,1,0,0,3.1,1351,10.8,1,2016-08-28T12:30:00Z,28 Aug 13:30,0,0,90,0,1,19,0,0,0,0,6,0,3,0,3442,0,0,0,0,0,0.0,3,400,722,322,45,False,0,0
