name,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
Dominic_Calvert-Lewin_175,0,9,0,0,0,2,0,1,7,6.2,0,0,175,0,0,16,1,0,0,1.3,700,4.4,0,2018-08-18T14:00:00Z,18 Aug 15:00,0,0,15,0,0,16,0,0,0,0,1,0,2,0,58211,0,0,0,1,2,2.0,1,-12871,995,13866,55,True,0,0
Dominic_Solanke_259,0,0,0,0,0,0,0,0,0,0.0,0,0,259,0,0,15,0,0,0,0.0,784,0.0,0,2018-08-20T19:00:00Z,20 Aug 20:00,0,0,0,0,0,7,0,0,0,0,0,0,2,0,19118,0,0,0,2,0,0.0,0,-2230,941,3171,50,False,0,0
Dwight_Gayle_325,0,0,0,0,0,0,0,0,0,0.0,0,0,325,0,0,13,0,0,0,0.0,850,0.0,0,2018-08-18T11:30:00Z,18 Aug 12:30,0,0,0,0,0,5,0,0,0,0,0,0,2,0,6544,0,0,0,0,0,0.0,0,-4142,45,4187,60,False,0,0
Eden_Hazard_122,1,28,0,0,0,15,0,0,25,35.3,2,0,122,0,0,14,0,0,0,9.1,647,26.4,3,2018-08-18T16:30:00Z,18 Aug 17:30,0,0,29,0,0,1,0,0,0,0,3,0,2,0,602757,3,0,0,2,3,29.0,4,26490,62988,36498,105,True,0,0
Ederson_Santana de Moraes_260,1,20,0,0,0,18,0,0,16,10.0,0,0,260,0,0,18,0,1,0,3.0,785,19.8,1,2018-08-19T12:30:00Z,19 Aug 13:30,0,0,90,0,0,10,0,0,0,0,8,0,2,0,977341,0,0,0,1,6,0.0,5,59868,83518,23650,55,True,0,0
Edimilson_Fernandes_416,0,0,0,0,0,0,0,0,0,0.0,0,0,416,0,0,20,0,0,0,0.0,941,0.0,0,2018-08-18T14:00:00Z,18 Aug 15:00,0,0,0,0,0,2,0,0,0,0,0,0,2,0,12412,0,0,0,2,1,0.0,0,-3846,129,3975,45,True,0,0
Eldin_Jakupovic_214,0,0,0,0,0,0,0,0,0,0.0,0,0,214,0,0,17,0,0,0,0.0,739,0.0,0,2018-08-18T14:00:00Z,18 Aug 15:00,0,0,0,0,0,20,0,0,0,0,0,0,2,0,7021,0,0,0,0,2,0.0,0,-443,64,507,45,True,0,0
Elias_Kachunga_212,0,0,0,0,0,0,0,0,0,0.0,0,0,212,0,0,18,0,0,0,0.0,737,0.0,0,2018-08-19T12:30:00Z,19 Aug 13:30,0,0,0,0,0,13,0,0,0,0,0,0,2,0,5473,0,0,0,1,6,0.0,0,-576,219,795,50,False,0,0
Emerson_Hyndman_41,0,0,0,0,0,0,0,0,0,0.0,0,0,41,0,0,20,0,0,0,0.0,566,0.0,0,2018-08-18T14:00:00Z,18 Aug 15:00,0,0,0,0,0,19,0,0,0,0,0,0,2,0,2967,0,0,0,2,1,0.0,0,-935,10,945,45,False,0,0
Emerson_Palmieri dos Santos_121,0,0,0,0,0,0,0,0,0,0.0,0,0,121,0,0,14,0,0,0,0.0,646,0.0,0,2018-08-18T16:30:00Z,18 Aug 17:30,0,0,0,0,0,1,0,0,0,0,0,0,2,0,8819,0,0,0,2,3,0.0,0,-1593,118,1711,55,True,0,0
Eric_Bailly_291,0,67,0,0,0,10,0,3,60,0.3,0,0,291,0,0,11,1,3,0,1.0,816,7.8,0,2018-08-19T15:00:00Z,19 Aug 16:00,0,0,90,0,0,3,0,1,0,0,5,0,2,0,211411,0,1,0,2,3,2.0,1,20403,31796,11393,55,False,0,0
Eric_Dier_361,0,53,1,0,0,20,0,4,50,28.3,0,0,361,0,0,19,1,1,0,4.3,886,14.2,2,2018-08-18T14:00:00Z,18 Aug 15:00,0,0,72,0,1,9,0,0,0,0,3,0,2,0,91404,0,0,0,1,3,0.0,2,-23024,2044,25068,49,True,0,0
Erik_Durm_461,0,0,0,0,0,0,0,0,0,0.0,0,0,461,0,0,18,0,0,0,0.0,986,0.0,0,2018-08-19T12:30:00Z,19 Aug 13:30,0,0,0,0,0,13,0,0,0,0,0,0,2,0,10295,0,0,0,1,6,0.0,0,-2802,39,2841,45,False,0,0
Erik_Lamela_363,1,10,0,0,0,12,0,0,9,14.8,0,0,363,0,0,19,1,0,0,9.3,888,22.6,1,2018-08-18T14:00:00Z,18 Aug 15:00,0,0,17,0,0,9,0,0,0,0,0,0,2,0,3267,0,0,0,1,3,56.0,4,-899,127,1026,65,True,0,0
Ethan_Ampadu_130,0,0,0,0,0,0,0,0,0,0.0,0,0,130,0,0,14,0,0,0,0.0,655,0.0,0,2018-08-18T16:30:00Z,18 Aug 17:30,0,0,0,0,0,1,0,0,0,0,0,0,2,0,3504,0,0,0,2,3,0.0,0,-288,127,415,45,True,0,0
Etienne_Capoue_389,0,38,0,0,0,10,0,3,29,1.3,0,0,389,0,0,12,2,1,0,1.1,914,9.4,0,2018-08-19T12:30:00Z,19 Aug 13:30,0,0,90,0,0,4,0,0,0,0,12,0,2,0,14167,1,0,0,3,1,0.0,2,-1032,717,1749,50,False,0,0
Ezequiel_Schelotto_53,0,0,0,0,0,0,0,0,0,0.0,0,0,53,0,0,11,0,0,0,0.0,578,0.0,0,2018-08-19T15:00:00Z,19 Aug 16:00,0,0,0,0,0,14,0,0,0,0,0,0,2,0,117693,0,0,0,2,3,0.0,0,-9650,2381,12031,40,True,0,0
Fabian_Delph_269,0,0,0,0,0,0,0,0,0,0.0,0,0,269,0,0,18,0,0,0,0.0,794,0.0,0,2018-08-19T12:30:00Z,19 Aug 13:30,0,0,0,0,0,10,0,0,0,0,0,0,2,0,17704,0,0,0,1,6,0.0,0,-2660,269,2929,55,True,0,0
Fabian_Schär_482,0,0,0,0,0,0,0,0,0,0.0,0,0,482,0,0,13,0,0,0,0.0,1007,0.0,0,2018-08-18T11:30:00Z,18 Aug 12:30,0,0,0,0,0,5,0,0,0,0,0,0,2,0,15454,0,0,0,0,0,0.0,0,-2624,211,2835,50,False,0,0
