value;name;position;display_name;bonus;bonus_weighted;bps;bps_weighted;total_points;total_points_weighted;vpc_ratio;vpc_ratio_weighted
5.0;Aaron Cresswell 402;Defender;Aaron Cresswell;0.0;0.0;6.576923076923077;0.2885509408837168;0.9230769230769231;0.04037140055534704;0.18461538461538463;0.008074280111069409
4.9;Aaron Lennon 83;Midfielder;Aaron Lennon;0.07692307692307693;0.003663003663003663;5.115384615384615;0.23306210868479835;1.5769230769230769;0.07149283513920023;0.32182103610675034;0.014590374518204127
5.0;Aaron Mooy 199;Midfielder;Aaron Mooy;0.11538461538461539;0.004807692307692308;10.653846153846153;0.469102591033589;1.8846153846153846;0.08260630701354164;0.3769230769230769;0.016521261402708327
7.2;Aaron Ramsey 14;Midfielder;Aaron Ramsey;0.038461538461538464;0.0020242914979757085;7.884615384615385;0.35044189565576644;2.3846153846153846;0.10718681092030852;0.3311965811965812;0.014887057072265071
4.6;Aaron Wan-Bissaka 145;Defender;Aaron Wan-Bissaka;0.5384615384615384;0.024066019450634836;17.76923076923077;0.799403402083388;3.230769230769231;0.14499040809373495;0.7023411371237459;0.03151965393342064
4.0;Abd-Al-Ali Morakinyo Olaposi Koiki 564;Defender;Abd-Al-Ali Morakinyo Olaposi Koiki;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4.3;Abdelhamid Sabiri 205;Midfielder;Abdelhamid Sabiri;0.0;0.0;0.23076923076923078;0.009860139860139859;0.07692307692307693;0.0032867132867132865;0.01788908765652952;0.0007643519271426247
5.9;Abdoulaye Doucouré 390;Midfielder;Abdoulaye Doucouré;0.34615384615384615;0.01606097606097606;13.73076923076923;0.6230819392001402;3.1923076923076925;0.14597577443907317;0.5410691003911343;0.02474165668458867
4.5;Aboubakar Kamara 189;Forward;Aboubakar Kamara;0.07692307692307693;0.0034965034965034965;3.1538461538461537;0.13450240251771672;1.0769230769230769;0.04851494038829015;0.2393162393162393;0.010781097864064478
5.0;Adalberto Peñaranda 554;Forward;Adalberto Peñaranda;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6.9;Adam Lallana 250;Midfielder;Adam Lallana;0.0;0.0;2.3461538461538463;0.10761412987385527;0.6153846153846154;0.02763157873569773;0.08918617614269789;0.004004576628361989
4.3;Adam Masina 386;Defender;Adam Masina;0.038461538461538464;0.0021367521367521365;3.5;0.15515928515928518;0.7307692307692307;0.03266705516705516;0.16994633273703041;0.007596989573733759
4.3;Adam Smith 29;Defender;Adam Smith;0.0;0.0;9.692307692307692;0.4279269401118548;1.9230769230769231;0.08624645690127121;0.44722719141323797;0.020057315558435165
4.5;Adama Diakhaby 471;Midfielder;Adama Diakhaby;0.0;0.0;1.4230769230769231;0.06430151231154574;0.6923076923076923;0.030983746836589648;0.15384615384615385;0.0068852770747977
5.1;Adama Traoré 500;Midfielder;Adama Traoré;0.07692307692307693;0.0033444816053511705;5.0;0.21868241933635352;1.2692307692307692;0.05660689825537563;0.248868778280543;0.011099391814779537
5.1;Ademola Lookman 170;Midfielder;Ademola Lookman;0.0;0.0;3.5185185185185186;0.1616237257702636;0.8888888888888888;0.03959683514433916;0.17429193899782136;0.007764085322419444
