value;name;position;display_name;bonus;bonus_weighted;bps;bps_weighted;total_points;total_points_weighted;vpc_ratio;vpc_ratio_weighted
7.0;Wilfried Zaha 151;Forward;Wilfried Zaha;0.375;0.125;12.875;3.6480654761904763;3.625;1.1450892857142856;0.5178571428571429;0.16358418367346936
5.0;Will Hughes 392;Midfielder;Will Hughes;0.25;0.03571428571428571;12.0;3.173958333333333;3.25;0.8438988095238096;0.65;0.1687797619047619
4.0;Will Norris 422;Goalkeeper;Will Norris;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
7.4;Willian Borges Da Silva 124;Midfielder;Willian Borges Da Silva;0.125;0.03125;16.5;5.796577380952381;3.875;1.225297619047619;0.5236486486486486;0.16558075933075933
4.6;Willy Boly 423;Defender;Willy Boly;0.375;0.08125;21.0;7.095089285714286;4.875;1.827232142857143;1.0597826086956523;0.39722437888198764
4.8;Willy Caballero 112;Goalkeeper;Willy Caballero;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4.4;Winston Reid 401;Defender;Winston Reid;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
7.1;Xherdan Shaqiri 462;Midfielder;Xherdan Shaqiri;0.0;0.0;3.625;1.328125;1.625;0.5822916666666667;0.22887323943661972;0.08201291079812206
5.8;Yannick Bolasie 165;Midfielder;Yannick Bolasie;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5.4;Yerry Mina 506;Defender;Yerry Mina;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3.9;Yohan Benalouane 218;Defender;Yohan Benalouane;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5.7;Yoshinori Muto 488;Forward;Yoshinori Muto;0.0;0.0;4.875;3.502232142857143;1.5;0.9397321428571428;0.2631578947368421;0.16486528822055135
4.3;Younes Kaboul 375;Defender;Younes Kaboul;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4.8;Yves Bissouma 466;Midfielder;Yves Bissouma;0.0;0.0;3.375;1.2541666666666667;1.25;0.4364583333333333;0.2604166666666667;0.09092881944444443
4.0;Zeze Steven Sessegnon 541;Defender;Zeze Steven Sessegnon;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8.7;Álvaro Morata 134;Forward;Álvaro Morata;0.0;0.0;7.25;3.260267857142857;2.375;0.9592261904761905;0.27298850574712646;0.11025588396278052
