,assists_x,bonus_x,bps_x,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets_x,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity_x,dreamteam_count,ea_index_x,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded_x,goals_scored_x,ict_index_x,id_x,in_dreamteam,influence_x,loaned_in_x,loaned_out_x,loans_in,loans_out,minutes_x,news,news_added,now_cost,own_goals_x,penalties_missed_x,penalties_saved_x,photo,points_per_game,red_cards_x,saves_x,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat_x,total_points_x,transfers_in_x,transfers_in_event,transfers_out_x,transfers_out_event,value_form,value_season,web_name,yellow_cards_x,name,position,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus_y,bps_y,clean_sheets_y,clearances_blocks_interceptions,completed_passes,creativity_y,dribbles,ea_index_y,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded_y,goals_scored_y,ict_index_y,id_y,influence_y,key_passes,loaned_in_y,loaned_out_y,minutes_y,offside,open_play_crosses,opponent_team,own_goals_y,penalties_conceded,penalties_missed_y,penalties_saved_y,recoveries,red_cards_y,round,saves_y,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat_y,total_points_y,transfers_balance,transfers_in_y,transfers_out_y,value,was_home,winning_goals,yellow_cards_y,vpc_ratio
379,0.0,0.0,39.0,None,None,4.0,175592.0,0.0,0.0,-1.0,1.0,60.5,0.0,0.0,3.0,3.3,2.3,3.0,Naby,2.3,0.0,0.0,18.5,256.0,False,52.4,0.0,0.0,0.0,0.0,343.0,,None,74.0,0.0,0.0,0.0,175592.jpg,2.6,0.0,0.0,Keita,3.3,False,8,a,12.0,14.0,71.0,13.0,66408.0,2534.0,173704.0,21677.0,0.3,1.8,Keita,0.0,Naby Keita,Midfielder,0.0,63.0,0.0,0.0,0.0,11.0,1.0,1.0,56.0,16.9,0.5,0.0,256.0,0.0,0.0,20.0,0.5,0.0,0.0,3.3499999999999996,1044.5,9.8,1.0,0.0,0.0,76.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,6.0,0.0,2.5,0.0,252828.0,1.0,0.5,1.0,1.0,1.0,6.5,3.0,-10640.0,15142.0,32844.5,7.5,0.5,0.0,0.0,0.4
380,0.0,2.0,62.0,100,100,0.0,38411.0,0.0,0.0,0.0,0.0,30.1,1.0,0.0,2.0,4.5,4.5,2.0,Nacho,4.0,7.0,1.0,24.8,5.0,False,96.4,0.0,0.0,0.0,0.0,360.0,,2018-08-05T10:31:10Z,55.0,0.0,0.0,0.0,38411.jpg,3.3,0.0,0.0,Monreal,1.9,False,18,a,1.0,3.0,122.0,13.0,94794.0,9294.0,49280.0,7880.0,0.7,2.4,Monreal,1.0,Nacho Monreal,Defender,0.0,38.5,0.0,0.0,0.0,11.5,0.0,3.5,34.5,4.35,0.0,0.0,5.0,0.0,0.0,17.5,0.0,1.5,0.0,5.4,793.5,17.0,0.0,0.0,0.0,90.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,4.0,0.0,2.5,0.0,45889.0,0.0,0.5,0.0,2.0,2.5,26.0,0.5,3703.5,6757.5,7552.5,5.5,0.5,0.0,0.0,0.09090909090909091
381,0.0,0.0,0.0,0,0,0.0,92383.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,Nahki,0.0,0.0,0.0,0.0,86.0,False,0.0,0.0,0.0,0.0,0.0,0.0,Season-long loan to Queens Park Rangers,2018-08-23T23:01:12Z,45.0,0.0,0.0,0.0,92383.jpg,0.0,0.0,0.0,Wells,1.4,False,21,u,4.0,90.0,0.0,0.0,12366.0,118.0,64847.0,6146.0,0.0,0.0,Wells,0.0,Nahki Wells,Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,0.0,0.0,50.0,None,None,1.0,86881.0,0.0,0.0,0.0,0.0,14.2,0.0,0.0,3.0,2.2,1.7,2.0,Nampalys,1.7,7.0,0.0,6.2,527.0,False,45.8,0.0,0.0,0.0,0.0,360.0,,None,45.0,0.0,0.0,0.0,86881.jpg,2.0,0.0,0.0,Mendy,1.0,False,24,a,11.0,13.0,2.0,8.0,62678.0,3122.0,29770.0,4500.0,0.4,1.8,Mendy,1.0,Nampalys Mendy,Midfielder,0.0,49.0,0.0,0.0,0.0,13.0,0.0,2.0,47.0,3.0,0.0,0.0,527.0,0.0,0.0,28.0,2.0,1.0,0.0,1.4,1579.0,11.2,0.0,0.0,0.0,90.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,37000.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,10902.0,20042.0,9140.0,4.5,1.0,0.0,0.0,0.4444444444444444
383,0.0,3.0,82.0,100,100,1.0,126184.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,2.0,3.8,3.3,1.0,Nathan,3.3,7.0,1.0,14.7,31.0,False,116.8,0.0,0.0,0.0,0.0,450.0,,2018-08-05T11:01:10Z,50.0,0.0,0.0,0.0,126184.jpg,4.0,0.0,0.0,Aké,4.6,False,5,a,2.0,91.0,28.0,20.0,93722.0,8171.0,70514.0,9438.0,0.7,4.0,Aké,0.0,Nathan Aké,Defender,0.0,36.5,0.0,0.5,0.5,15.0,0.0,7.5,33.0,0.30000000000000004,0.0,0.0,31.0,0.0,0.0,21.0,1.0,1.5,0.0,3.05,819.5,26.6,0.0,0.0,0.0,90.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,4.0,0.0,2.5,0.0,219150.5,0.0,1.0,0.5,1.0,2.0,3.5,5.0,8152.5,18802.5,11700.5,5.0,0.5,0.0,0.0,1.0
384,0.0,0.0,51.0,None,None,2.0,83283.0,0.0,0.0,-1.0,1.0,103.6,0.0,0.0,3.0,1.3,2.8,2.0,Nathan,2.3,6.0,0.0,27.4,343.0,False,52.2,0.0,0.0,0.0,0.0,450.0,,None,54.0,0.0,0.0,0.0,83283.jpg,2.4,0.0,0.0,Redmond,0.4,False,22,a,16.0,20.0,120.0,12.0,7891.0,405.0,15978.0,2460.0,0.4,2.2,Redmond,0.0,Nathan Redmond,Midfielder,0.0,34.5,0.0,0.0,0.0,12.5,0.5,0.5,29.0,17.9,3.5,0.0,343.0,0.0,0.0,22.0,0.0,1.0,0.0,5.6,1131.5,10.1,1.0,0.0,0.0,90.0,0.0,0.5,7.5,0.0,0.0,0.0,0.0,4.5,0.0,2.5,0.0,24362.0,3.5,0.0,0.0,1.5,0.5,27.5,2.5,-1897.0,1249.5,3255.0,5.5,0.5,0.0,0.0,0.45454545454545453
385,0.0,0.0,3.0,100,100,0.0,89085.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,3.0,0.8,-0.2,0.0,Nathaniel,0.3,0.0,0.0,0.1,387.0,False,0.4,0.0,0.0,0.0,0.0,4.0,,2018-07-29T09:01:10Z,45.0,0.0,0.0,0.0,89085.jpg,1.0,0.0,0.0,Chalobah,0.2,False,14,a,18.0,57.0,0.0,1.0,1937.0,348.0,5566.0,710.0,0.1,0.2,Chalobah,0.0,Nathaniel Chalobah,Midfielder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,0.0,0.0,0.0,None,None,0.0,57328.0,0.0,0.0,-3.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,Nathaniel,0.0,0.0,0.0,0.0,241.0,False,0.0,0.0,0.0,0.0,0.0,0.0,,None,47.0,0.0,0.0,0.0,57328.jpg,0.0,0.0,0.0,Clyne,0.3,False,2,a,12.0,14.0,0.0,0.0,1884.0,137.0,19332.0,889.0,0.0,0.0,Clyne,0.0,Nathaniel Clyne,Defender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,0.0,0.0,11.0,0,0,0.0,76360.0,0.0,0.0,-1.0,1.0,1.4,0.0,0.0,3.0,0.0,0.0,0.0,Nathaniel,0.3,1.0,0.0,4.4,100.0,False,8.0,0.0,0.0,0.0,0.0,83.0,Knee injury - Expected back 24 Nov,2018-08-25T18:01:15Z,49.0,0.0,0.0,0.0,76360.jpg,1.3,0.0,0.0,Mendez-Laing,0.0,False,19,i,5.0,97.0,34.0,4.0,365.0,15.0,2793.0,214.0,0.1,0.8,Mendez-Laing,0.0,Nathaniel Mendez-Laing,Midfielder,0.0,2.5,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.25,0.0,0.0,100.0,0.0,0.0,18.5,0.0,0.0,0.0,1.05,888.5,2.0,0.0,0.0,0.0,10.5,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,2.5,0.0,3386.5,0.5,0.0,0.0,0.0,1.0,7.5,1.0,-425.5,55.0,576.5,5.0,0.5,0.0,0.0,0.2
388,0.0,0.0,0.0,0,0,0.0,92259.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,Neeskens,0.0,0.0,0.0,0.0,187.0,False,0.0,0.0,0.0,0.0,0.0,0.0,Ankle injury - Expected back 29 Sep,2018-08-30T11:01:13Z,44.0,0.0,0.0,0.0,92259.jpg,0.0,0.0,0.0,Kebano,0.1,False,7,i,9.0,54.0,0.0,0.0,1430.0,39.0,3948.0,384.0,0.0,0.0,Kebano,0.0,Neeskens Kebano,Midfielder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
